"Variant ID","Product Name","Product Type","Product Color","Product Size","Product Image","Product Weight (oz)","Height (In)","Length (In)","Width (In)",Categories,"Product Price",Notes
1,"Enhanced Matte Paper Poster (in) (18″×24″)",Poster,,18″×24″,https://files.cdn.printful.com/products/1/1_1527683474.jpg,1.90,0.100,24.000,18.000,Posters,$12.89,
2,"Enhanced Matte Paper Poster (in) (24″×36″)",Poster,,24″×36″,https://files.cdn.printful.com/products/1/2_1527678974.jpg,3.75,0.100,36.000,24.000,Posters,$17.89,
3,"Enhanced Matte Paper Framed Poster (in) (18″×24″, Black)",Framed-poster,Black,18″×24″,https://files.cdn.printful.com/products/2/3_1527685193.jpg,60.00,0.750,24.000,18.000,"Framed posters",$45.39,
4,"Enhanced Matte Paper Framed Poster (in) (24″×36″, Black)",Framed-poster,Black,24″×36″,https://files.cdn.printful.com/products/2/4_1527683261.jpg,75.00,0.750,36.000,24.000,"Framed posters",$74.41,
5,"Canvas (in) (12″×16″)",Canvas,,12″×16″,https://files.cdn.printful.com/products/3/5_1712914884.jpg,46.00,0.900,16.000,12.000,Canvas,$23.41,
6,"Canvas (in) (16″×20″)",Canvas,,16″×20″,https://files.cdn.printful.com/products/3/6_1712914986.jpg,54.00,0.900,20.000,16.000,Canvas,$28.56,
7,"Canvas (in) (18″×24″)",Canvas,,18″×24″,https://files.cdn.printful.com/products/3/7_1712914904.jpg,63.00,0.900,24.000,18.000,Canvas,$33.66,
473,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (S, White)",Apparel,White,S,https://files.cdn.printful.com/products/12/473_1653477371.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.44,
474,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (S, Black)",Apparel,Black,S,https://files.cdn.printful.com/products/12/474_1653477245.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.44,
479,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (S, Charcoal)",Apparel,Charcoal,S,https://files.cdn.printful.com/products/12/479_1725616467.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.44,
